"funnel_id","funnel_version","page_id","page_name","page_index"
"fun_01KET2AWCPCJ1YC90VE85MK45Y",1,"01KET2AWGDWKN7XNNJENA015TG","Page 1",0
"fun_01KET2AWCPCJ1YC90VE85MK45Y",1,"01KET2BZD3KWKKK7VBRMGYXGCS","Page 2",1
"fun_01KET2AWCPCJ1YC90VE85MK45Y",2,"01KET2AWGDWKN7XNNJENA015TG","Page 1",0
"fun_01KET2AWCPCJ1YC90VE85MK45Y",2,"01KET2BZD3KWKKK7VBRMGYXGCS","Page 2",1
"fun_01KET6TAV4NKQ9HBZAAA68VFA0",3,"01KET6TAY7RPESZY5Y53GRJQ2Q","LP - Gender",0
"fun_01KET6TAV4NKQ9HBZAAA68VFA0",3,"01KET761BQTREWSPDMF97880RX","How old are you?",1
"fun_01KET6TAV4NKQ9HBZAAA68VFA0",3,"01KET763NS3XT2QDAJABKZYW3Y","body",2
"fun_01KET6TAV4NKQ9HBZAAA68VFA0",3,"01KET7WJPP9T5ZDMR9Q3N74DRY","weight",3
"fun_01KET6TAV4NKQ9HBZAAA68VFA0",3,"01KET7Z2FXRJ3SRPZ20Y8337NM","ideal weight",4
"fun_01KET6TAV4NKQ9HBZAAA68VFA0",3,"01KET81CNW43CXJ085CMKNHHCB","Page 6",5
"fun_01KET6TAV4NKQ9HBZAAA68VFA0",3,"01KET8R56NGT2Z2D215A5TTNV9","Page 7",6
"fun_01KET6TAV4NKQ9HBZAAA68VFA0",3,"01KET8ZVG38C5EK9J2RXNTCS19","Page 8",7
"fun_01KET6TAV4NKQ9HBZAAA68VFA0",3,"01KET94KS47EXEE4BKMA074E37","Page 9",8
"fun_01KET6TAV4NKQ9HBZAAA68VFA0",3,"01KET9CMBS6ZEF4GS8RH5K6Z3M","Page 10",9
"fun_01KET6TAV4NKQ9HBZAAA68VFA0",3,"01KET9G6V3C16EXNKSVBP3KPMN","Page 11",10
"fun_01KET6TAV4NKQ9HBZAAA68VFA0",3,"01KET9QCV12G97P14YA4BK4W5T","Page 12",11
"fun_01KET6TAV4NKQ9HBZAAA68VFA0",3,"01KET9VJH96FQJ9MNSV5WRKRR0","Page 13",12
"fun_01KET6TAV4NKQ9HBZAAA68VFA0",3,"01KET9ZCM0ZXJD0VCP86R4Z7RQ","Page 14",13
"fun_01KET6TAV4NKQ9HBZAAA68VFA0",3,"01KETA6ZM37V15TQ7YACEMVRM9","Page 15",14
"fun_01KET6TAV4NKQ9HBZAAA68VFA0",3,"01KETABTYCQ9QH9BESJVWEY2QC","Page 16",15
"fun_01KET6TAV4NKQ9HBZAAA68VFA0",3,"01KETBHT0YVRBX19FERFNWNKE2","Page 17",16
"fun_01KET6TAV4NKQ9HBZAAA68VFA0",3,"01KETBPV49Q9H5WEWM00VMM4RE","Page 18",17
"fun_01KET6TAV4NKQ9HBZAAA68VFA0",3,"01KETBSPVN6KECRGX8T8J7F7CW","Page 19",18
"fun_01KET6TAV4NKQ9HBZAAA68VFA0",5,"01KET6TAY7RPESZY5Y53GRJQ2Q","LP - Gender",0
"fun_01KET6TAV4NKQ9HBZAAA68VFA0",5,"01KET761BQTREWSPDMF97880RX","How old are you?",1
"fun_01KET6TAV4NKQ9HBZAAA68VFA0",5,"01KET763NS3XT2QDAJABKZYW3Y","body",2
"fun_01KET6TAV4NKQ9HBZAAA68VFA0",5,"01KET7WJPP9T5ZDMR9Q3N74DRY","weight",3
"fun_01KET6TAV4NKQ9HBZAAA68VFA0",5,"01KET7Z2FXRJ3SRPZ20Y8337NM","ideal weight",4
"fun_01KET6TAV4NKQ9HBZAAA68VFA0",5,"01KET81CNW43CXJ085CMKNHHCB","Page 6",5
"fun_01KET6TAV4NKQ9HBZAAA68VFA0",6,"01KET6TAY7RPESZY5Y53GRJQ2Q","LP - Gender",0
"fun_01KET6TAV4NKQ9HBZAAA68VFA0",6,"01KET761BQTREWSPDMF97880RX","How old are you?",1
"fun_01KET6TAV4NKQ9HBZAAA68VFA0",6,"01KET763NS3XT2QDAJABKZYW3Y","body",2
"fun_01KET6TAV4NKQ9HBZAAA68VFA0",6,"01KET7WJPP9T5ZDMR9Q3N74DRY","weight",3
"fun_01KET6TAV4NKQ9HBZAAA68VFA0",6,"01KET7Z2FXRJ3SRPZ20Y8337NM","ideal weight",4
"fun_01KET6TAV4NKQ9HBZAAA68VFA0",6,"01KET81CNW43CXJ085CMKNHHCB","Page 6",5
"fun_01KET6TAV4NKQ9HBZAAA68VFA0",6,"01KET8R56NGT2Z2D215A5TTNV9","Page 7",6
